AÑO,INFLACION,PRESIDENTE
1943,1.1,RAMON S. CASTILLO / (JUNIO 1943) PEDRO PABLO RAMIREZ
1944,-0.3,PEDRO PABLO RAMIREZ / (MARZO 1944) EDELMIRO FARRELL
1945,19.9,EDELMIRO FARRELL
1946,22.6,EDELMIRO FARRELL / (JUNIO 1946) JUAN DOMINGO PERON (*)
1947,22.6,JUAN DOMINGO PERON (*)
1948,22.6,JUAN DOMINGO PERON (*)
1949,22.6,JUAN DOMINGO PERON (*)
1950,22.6,JUAN DOMINGO PERON (*)
1951,22.6,JUAN DOMINGO PERON (*)
1952,38.8,JUAN DOMINGO PERON
1953,3.9,JUAN DOMINGO PERON (*)
1954,3.9,JUAN DOMINGO PERON (*)
1955,12.3,JUAN DOMINGO PERON / (SETIEMBRE 1955) EDUARDO LONARDI / (NOVIEMBRE 1955) PEDRO ARAMBURU
1956,13.4,PEDRO ARAMBURU
1957,24.7,PEDRO ARAMBURU
1958,21.1,PEDRO ARAMBURU / (MAYO 1958) ARTURO FRONDIZI (*)
1959,129.5,ARTURO FRONDIZI
1960,21.1,ARTURO FRONDIZI (*)
1961,21.1,ARTURO FRONDIZI (*)
1962,26.0,ARTURO FRONDIZI / (MARZO 1962) JOSE MARIA GUIDO
1963,26.1,JOSE MARIA GUIDO / (OCTUBRE 1963) ARTURO ILLIA
1964,22.1,ARTURO ILLIA
1965,28.6,ARTURO ILLIA
1966,31.9,ARTURO ILLIA / (JUNIO 1966) JUAN CARLOS ONGANIA
1967,26.7,JUAN CARLOS ONGANIA (*)
1968,26.7,JUAN CARLOS ONGANIA (*)
1969,26.7,JUAN CARLOS ONGANIA (*)
1970,26.7,JUAN CARLOS ONGANIA / (JUNIO 1970) ROBERTO MARCELO LEVINGSTON (*)
1971,26.7,ROBERTO MARCELO LEVINGSTON / (MARZO 1971) AGUSTIN LANUSSE (*)
1972,58.5,AGUSTIN LANUSSE
1973,60.3,AGUSTIN LANUSSE / (MAYO 1973) HECTOR CAMPORA / (JULIO 1973) HECTOR LASTIRI / (OCTUBRE 1973) JUAN DOMINGO PERON
1974,24.0,JUAN DOMINGO PERON / (JULIO 1974) MARIA ESTELA MARTINEZ DE PERON
1975,182.0,MARIA ESTELA MARTINEZ DE PERON
1976,444.0,MARIA ESTELA MARTINEZ DE PERON / (MARZO 1976) JORGE RAFAEL VIDELA
1977,176.0,JORGE RAFAEL VIDELA
1978,171.4,JORGE RAFAEL VIDELA
1979,163.0,JORGE RAFAEL VIDELA
1980,100.8,JORGE RAFAEL VIDELA
1981,131.0,JORGE RAFAEL VIDELA / (MARZO 1981) ROBERTO EDUARDO VIOLA / (NOVIEMBRE 1981) LEOPOLDO GALTIERI
1982,209.7,LEOPOLDO GALTIERI / (JUNIO 1982) REYNALDO BIGNONE
1983,343.8,REYNALDO BIGNONE
1984,625.0,RAUL ALFONSIN
1985,385.4,RAUL ALFONSIN
1986,81.9,RAUL ALFONSIN
1987,174.8,RAUL ALFONSIN
1988,387.7,RAUL ALFONSIN
1989,3079.5,RAUL ALFONSIN / (JULIO 1989) CARLOS MENEM
1990,2314.0,CARLOS MENEM
1991,171.67,CARLOS MENEM
1992,24.9,CARLOS MENEM
1993,10.6,CARLOS MENEM
1994,4.18,CARLOS MENEM
1995,3.38,CARLOS MENEM
1996,0.16,CARLOS MENEM
1997,0.53,CARLOS MENEM
1998,0.92,CARLOS MENEM
1999,-1.17,CARLOS MENEM
2000,-0.94,FERNANDO DE LA RUA
2001,-1.07,FERNANDO DE LA RUA / (DICIEMBRE 2001) ADOLFO RODRIGUEZ SAA (INTERINO)
2002,25.87,EDUARDO DUHALDE
2003,13.44,EDUARDO DUHALDE / (MAYO 2003) NESTOR KIRCHNER
2004,4.42,NESTOR KIRCHNER
2005,9.64,NESTOR KIRCHNER
2006,10.9,NESTOR KIRCHNER
2007,8.83,NESTOR KIRCHNER
2008,8.58,CRISTINA KIRCHNER
2009,6.28,CRISTINA KIRCHNER
2010,10.78,CRISTINA KIRCHNER
2011,9.47,CRISTINA KIRCHNER
2012,10.03,CRISTINA KIRCHNER
2013,10.62,CRISTINA KIRCHNER
2014,23.9,CRISTINA KIRCHNER
2015,25.0,CRISTINA KIRCHNER
2016,26.5,MAURICIO MACRI
2017,25.68,MAURICIO MACRI
2018,34.28,MAURICIO MACRI
2019,53.55,MAURICIO MACRI
2020,42.02,ALBERTO FERNANDEZ
2021,48.41,ALBERTO FERNANDEZ
2022,94.8,ALBERTO FERNANDEZ
2023,142.0,ALBERTO FERNANDEZ
